date,enso,year,month
1979-01-01,0.47,1979,1
1979-02-01,0.29,1979,2
1979-03-01,-0.05,1979,3
1979-04-01,0.21,1979,4
1979-05-01,0.27,1979,5
1979-06-01,-0.11,1979,6
1979-07-01,-0.11,1979,7
1979-08-01,0.47,1979,8
1979-09-01,0.38,1979,9
1979-10-01,0.23,1979,10
1979-11-01,0.53,1979,11
1979-12-01,0.63,1979,12
1980-01-01,0.33,1980,1
1980-02-01,0.2,1980,2
1980-03-01,0.39,1980,3
1980-04-01,0.51,1980,4
1980-05-01,0.45,1980,5
1980-06-01,0.55,1980,6
1980-07-01,0.47,1980,7
1980-08-01,0.03,1980,8
1980-09-01,0.12,1980,9
1980-10-01,0.02,1980,10
1980-11-01,-0.07,1980,11
1980-12-01,-0.12,1980,12
1981-01-01,-0.36,1981,1
1981-02-01,-0.23,1981,2
1981-03-01,0.33,1981,3
1981-04-01,0.43,1981,4
1981-05-01,-0.24,1981,5
1981-06-01,-0.7,1981,6
1981-07-01,-0.61,1981,7
1981-08-01,-0.34,1981,8
1981-09-01,-0.07,1981,9
1981-10-01,-0.16,1981,10
1981-11-01,-0.27,1981,11
1981-12-01,-0.19,1981,12
1982-01-01,-0.43,1982,1
1982-02-01,-0.49,1982,2
1982-03-01,-0.27,1982,3
1982-04-01,-0.36,1982,4
1982-05-01,-0.12,1982,5
1982-06-01,0.62,1982,6
1982-07-01,1.65,1982,7
1982-08-01,1.91,1982,8
1982-09-01,1.69,1982,9
1982-10-01,1.78,1982,10
1982-11-01,2.14,1982,11
1982-12-01,2.37,1982,12
1983-01-01,2.48,1983,1
1983-02-01,2.68,1983,2
1983-03-01,2.61,1983,3
1983-04-01,2.76,1983,4
1983-05-01,2.86,1983,5
1983-06-01,1.98,1983,6
1983-07-01,0.63,1983,7
1983-08-01,-0.17,1983,8
1983-09-01,-0.49,1983,9
1983-10-01,-0.53,1983,10
1983-11-01,-0.47,1983,11
1983-12-01,-0.5,1983,12
1984-01-01,-0.54,1984,1
1984-02-01,-0.56,1984,2
1984-03-01,-0.16,1984,3
1984-04-01,0.07,1984,4
1984-05-01,-0.45,1984,5
1984-06-01,-0.66,1984,6
1984-07-01,-0.34,1984,7
1984-08-01,-0.2,1984,8
1984-09-01,-0.14,1984,9
1984-10-01,-0.19,1984,10
1984-11-01,-0.58,1984,11
1984-12-01,-0.28,1984,12
1985-01-01,-0.25,1985,1
1985-02-01,-0.58,1985,2
1985-03-01,-0.6,1985,3
1985-04-01,-0.76,1985,4
1985-05-01,-1.23,1985,5
1985-06-01,-0.67,1985,6
1985-07-01,-0.1,1985,7
1985-08-01,-0.49,1985,8
1985-09-01,-0.56,1985,9
1985-10-01,-0.08,1985,10
1985-11-01,-0.06,1985,11
1985-12-01,-0.42,1985,12
1986-01-01,-0.4,1986,1
1986-02-01,-0.34,1986,2
1986-03-01,-0.4,1986,3
1986-04-01,-0.53,1986,4
1986-05-01,-0.26,1986,5
1986-06-01,0.01,1986,6
